CPU,NUMERO_ITERACION,LATENCIA
0,0,0
0,1,16805
0,2,23661
0,3,18620
0,4,12685
0,5,15081
0,6,15884
0,7,26438
0,8,13742
0,9,16840
0,10,15439
0,11,24345
0,12,37134
0,13,16260
0,14,32049
0,15,20665
0,16,21861
0,17,12804
0,18,14546
0,19,10697
0,20,13642
0,21,14290
0,22,23117
0,23,15961
0,24,13419
0,25,58296
0,26,22972
0,27,13822
0,28,26725
0,29,14131
0,30,41026
0,31,19534
0,32,25199
0,33,14048
0,34,30338
0,35,44948
0,36,15383
0,37,14686
0,38,16839
0,39,12004
0,40,14492
0,41,10948
0,42,18135
0,43,13595
0,44,10255
0,45,16253
0,46,16087
0,47,17848
0,48,9597
0,49,22798
0,50,52874
0,51,37673
0,52,33689
0,53,23288
0,54,11175
0,55,11566
0,56,37299
0,57,11812
0,58,12428
0,59,12970
0,60,13301
0,61,20318
0,62,14882
0,63,14539
0,64,16643
0,65,11819
0,66,13801
0,67,11116
0,68,15948
0,69,12268
0,70,10846
0,71,18787
0,72,10656
0,73,12624
0,74,9403
0,75,9835
0,76,11599
0,77,26951
0,78,13424
0,79,11974
0,80,24493
0,81,13807
0,82,11381
0,83,10232
0,84,12531
0,85,6924
0,86,38904
0,87,16517
0,88,37275
0,89,23490
0,90,13326
0,91,11056
0,92,8116
0,93,10055
0,94,62536
0,95,45269
0,96,33757
0,97,12648
0,98,10202
0,99,11307
0,100,20752
0,101,13032
0,102,10283
0,103,19037
0,104,49115
0,105,25601
0,106,10296
0,107,35900
0,108,16967
0,109,11275
0,110,8927
0,111,12281
0,112,14656
0,113,15176
0,114,60094
0,115,13713
0,116,11646
0,117,45992
0,118,13066
0,119,30218
0,120,13288
0,121,8769
0,122,8489
0,123,10131
0,124,35627
0,125,12800
0,126,23208
0,127,39119
0,128,14729
0,129,11588
0,130,40517
0,131,11890
0,132,15891
0,133,12170
0,134,10917
0,135,11033
0,136,19033
0,137,30441
0,138,13695
0,139,10977
0,140,13807
0,141,14020
0,142,21941
0,143,13497
0,144,14099
0,145,12282
0,146,10905
0,147,25475
0,148,10479
0,149,25235
0,150,26406
0,151,21087
0,152,9779
0,153,12470
0,154,9432
0,155,10661
0,156,10385
0,157,13303
0,158,14004
0,159,7989
0,160,9408
0,161,10221
0,162,34690
0,163,15520
0,164,12624
0,165,30358
0,166,11955
0,167,37708
0,168,13328
0,169,26290
0,170,12594
0,171,9638
0,172,16782
0,173,12711
0,174,34680
0,175,29015
0,176,10027
0,177,32162
0,178,14063
0,179,17091
0,180,21055
0,181,17020
0,182,10655
0,183,32768
0,184,7191
0,185,9606
0,186,19398
0,187,45937
0,188,29257
0,189,25224
0,190,10645
0,191,9508
0,192,31105
0,193,12752
0,194,10364
0,195,11113
0,196,10098
0,197,11097
0,198,31512
0,199,11519
0,200,9762
0,201,12046
0,202,21314
0,203,14297
0,204,11021
0,205,25608
0,206,13386
0,207,12189
0,208,11743
0,209,12112
0,210,11587
0,211,15510
0,212,23448
0,213,15677
0,214,25589
0,215,25763
0,216,13079
0,217,22611
0,218,10825
0,219,23282
0,220,11016
0,221,28136
0,222,12670
0,223,12542
0,224,14664
0,225,24618
0,226,32121
0,227,19349
0,228,23482
0,229,16849
0,230,10395
0,231,15360
0,232,11698
0,233,11101
0,234,36970
0,235,42415
0,236,13008
0,237,11067
0,238,9859
0,239,8052
0,240,12024
0,241,13957
0,242,11062
0,243,28814
0,244,17949
0,245,11397
0,246,20871
0,247,11429
0,248,22650
0,249,12582
0,250,19017
0,251,31222
0,252,13985
0,253,22300
0,254,8266
0,255,8660
0,256,30877
0,257,13926
0,258,20328
0,259,12099
0,260,9632
0,261,21585
0,262,29258
0,263,13222
0,264,14245
0,265,11844
0,266,12556
0,267,10680
0,268,31797
0,269,11508
0,270,14957
0,271,32961
0,272,9460
0,273,19618
0,274,23512
0,275,11278
0,276,30542
0,277,25548
0,278,11348
0,279,10116
0,280,12125
0,281,9637
0,282,12211
0,283,10620
0,284,16295
0,285,12140
0,286,9708
0,287,19519
0,288,10243
0,289,7795
0,290,10012
0,291,10943
0,292,12667
0,293,13062
0,294,11823
0,295,13016
0,296,13999
0,297,13764
0,298,13779
0,299,12462
0,300,18974
0,301,30360
0,302,31707
0,303,24326
0,304,12230
0,305,24606
0,306,16076
0,307,14531
0,308,31614
0,309,13633
0,310,11349
0,311,10358
0,312,11378
0,313,10771
0,314,13064
0,315,10759
0,316,10999
0,317,11954
0,318,10709
0,319,33705
0,320,29089
0,321,27218
0,322,19852
0,323,22649
0,324,10701
0,325,11793
0,326,11925
0,327,13536
0,328,28654
0,329,26948
0,330,10714
0,331,35817
0,332,10663
0,333,11304
0,334,17427
0,335,10147
0,336,9005
0,337,7948
0,338,9133
0,339,15717
0,340,10620
0,341,10203
0,342,11365
0,343,13761
0,344,36451
0,345,25042
0,346,42557
0,347,13484
0,348,19522
0,349,10826
0,350,12418
0,351,11556
0,352,10414
0,353,12427
0,354,11472
0,355,13750
0,356,40779
0,357,14422
0,358,10801
0,359,13097
0,360,12286
0,361,13482
0,362,12801
0,363,12199
0,364,12915
0,365,21756
0,366,11207
0,367,10853
0,368,23043
0,369,27733
0,370,11947
0,371,29758
0,372,13847
0,373,12418
0,374,24490
0,375,32316
0,376,11915
0,377,17577
0,378,10962
0,379,39791
0,380,13046
0,381,29333
0,382,10188
0,383,12266
0,384,13856
0,385,13680
0,386,13509
0,387,14172
0,388,11863
0,389,34440
0,390,26267
0,391,14530
0,392,9360
0,393,31570
0,394,13600
0,395,27922
0,396,28871
0,397,20581
0,398,10091
0,399,27789
0,400,12185
0,401,21310
0,402,18022
0,403,12450
0,404,45691
0,405,18949
0,406,31693
0,407,20750
0,408,20818
0,409,12820
0,410,21476
0,411,34402
0,412,21563
0,413,34346
0,414,14115
0,415,24885
0,416,42190
0,417,12124
0,418,23005
0,419,12129
0,420,13544
0,421,29094
0,422,18012
0,423,12861
0,424,9923
0,425,11394
0,426,12787
0,427,13144
0,428,9571
0,429,8515
0,430,10910
0,431,16547
0,432,14614
0,433,13005
0,434,10840
0,435,16143
0,436,24962
0,437,15282
0,438,12242
0,439,33308
0,440,15993
0,441,24864
0,442,21646
0,443,29172
0,444,7788
0,445,45424
0,446,44075
0,447,17179
0,448,11525
0,449,24413
0,450,12457
0,451,11427
0,452,16646
0,453,10597
0,454,30976
0,455,18953
0,456,11420
0,457,16083
0,458,11021
0,459,12613
0,460,18899
0,461,27728
0,462,8601
0,463,14501
0,464,11001
0,465,11143
0,466,24285
0,467,11113
0,468,10396
0,469,20765
0,470,13531
0,471,34658
0,472,20560
0,473,18394
0,474,16236
0,475,23185
0,476,24460
0,477,16707
0,478,27855
0,479,27771
0,480,15365
0,481,11708
0,482,10483
0,483,8603
0,484,15062
0,485,12789
0,486,33802
0,487,21386
0,488,26372
0,489,24525
0,490,26327
0,491,19573
0,492,18184
0,493,25882
0,494,38028
0,495,13158
0,496,10790
0,497,32960
0,498,14530
0,499,24049
0,500,12900
0,501,34074
0,502,9501
0,503,26977
0,504,10350
0,505,33312
0,506,45651
0,507,6701
0,508,6177
0,509,5864
0,510,7562
0,511,15621
0,512,10321
0,513,18753
0,514,13224
0,515,9980
0,516,32800
0,517,20925
0,518,7703
0,519,9270
0,520,16429
0,521,8664
0,522,12987
0,523,24962
0,524,11136
0,525,20083
0,526,11553
0,527,24958
0,528,21964
0,529,11867
0,530,27300
0,531,27713
0,532,12937
0,533,10136
0,534,22180
0,535,16870
0,536,35322
0,537,12886
0,538,10941
0,539,24003
0,540,19660
0,541,11649
0,542,16226
0,543,10891
0,544,24908
0,545,14298
0,546,10845
0,547,11382
0,548,11591
0,549,28717
0,550,10625
0,551,12480
0,552,12049
0,553,10879
0,554,10586
0,555,9409
0,556,9436
0,557,9593
0,558,33943
0,559,15630
0,560,12355
0,561,9834
0,562,9879
0,563,12536
0,564,24940
0,565,19110
0,566,14102
0,567,12503
0,568,11421
0,569,10812
0,570,11056
0,571,12088
0,572,10744
0,573,15028
0,574,9432
0,575,26996
0,576,13141
0,577,14017
0,578,12869
0,579,10090
0,580,12312
0,581,28431
0,582,10772
0,583,11377
0,584,13899
0,585,11864
0,586,10460
0,587,10147
0,588,10594
0,589,12838
0,590,32660
0,591,17967
0,592,8893
0,593,23011
0,594,46399
0,595,13600
0,596,9792
0,597,10323
0,598,11960
0,599,11659
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
